Test ID,Scenario Type,Category,Title,Dimensions Covered,Input Prompt,Expected Signals,Expected Behavior,Actual Signals Detected,Unexpected Signals,Known False Positives,Actual Key Recommendations,Status,Notes / Findings
POS-11,Positive,Sovereign / Regional Cloud,Enterprise APAC / Telecom (Huawei Cloud + MySQL + COBIT),"Cloud: Huawei Cloud (Mono) | Scale: Ent (200 devs) | Tech: Java, MySQL | Domain: Telecom / APAC | Gov: COBIT | Sec: Data Residency | LLM: None | MCP: None | RAG: None | Obs: Prometheus | Client: Web app","Large enterprise telecom web application running on Huawei Cloud in the APAC region with a team of 200 engineers. Backend in Java using MySQL databases. IT risk governed under COBIT framework, monitored with Prometheus and Grafana.","huaweiShop, enterprise, largeTeam, javaMentioned, mysqlMentioned, cobitMentioned, prometheusMentioned, web, grafanaMentioned, structured","Huawei Cloud selected, MySQL relational database, COBIT risk governance, Prometheus + Grafana monitoring.","enterprise, web, structured, cobitMentioned, huaweiShop, javaMentioned, mysqlMentioned, prometheusMentioned, grafanaMentioned, largeTeam",,,"{""cloud"": ""Huawei Cloud"", ""database"": ""MySQL (primary transactional store) — matches your team's existing MySQL experience"", ""iam"": ""Okta"", ""containers"": ""Docker + Huawei Cloud CCE (Cloud Container Engine)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Grafana + Prometheus (OSS)"", ""architecture"": ""Microservices with Hexagonal (Ports & Adapters) architecture"", ""frontend"": ""Angular"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Redis"", ""mesh"": ""Istio"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
POS-12,Positive,Lean Startup MVP,Solo Founder SaaS MVP (Serverless / Neon Postgres / Clerk),"Cloud: Serverless | Scale: Solo (1 founder) | Tech: TypeScript, React, Neon | Domain: B2B SaaS | Gov: None | Sec: Clerk Auth | LLM: None | MCP: None | RAG: None | Obs: Better Stack | Client: Web app","Solo founder building an early-stage B2B SaaS MVP web application, move fast on a bootstrapped budget. Using React with TypeScript, Neon serverless Postgres, Clerk for authentication, Better Stack for uptime monitoring.","startupMvp, smallTeam, reactMentioned, neonMentioned, clerkMentioned, betterStackMentioned, web, postgresMentioned, serverlessMentioned","Clerk authentication, Neon serverless Postgres, Better Stack uptime monitoring, single modular monolith.","startupMvp, web, clerkMentioned, postgresMentioned, neonMentioned, reactMentioned, serverlessMentioned, betterStackMentioned, smallTeam",,,"{""cloud"": ""AWS (or GCP)"", ""database"": ""Neon (serverless Postgres, instant branching) (primary transactional store) — matches your team's existing Neon experience; still Postgres-wire-compatible underneath"", ""iam"": ""Clerk"", ""containers"": ""Docker + managed serverless containers (Cloud Run / Fargate)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Better Stack"", ""architecture"": ""Modular monolith (hexagonal internal structure), split into microservices later"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Managed queue (SQS/Pub/Sub) rather than self-managed Kafka"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-01,Alternative,Synonym Robustness — Healthcare,Hospital Synonyms without 'HIPAA' literal,Healthcare domain detection through medical synonym vocabulary without HIPAA acronym,"Hospital records web application to manage patient clinical notes and medical charts, keeping patient data private and complying with health data privacy regulations.","healthcare, web",Detects healthcare domain and compliance-aware PostgreSQL / audit logging recommendations without requiring the literal word 'HIPAA'.,"healthcare, web",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-02,Alternative,Synonym Robustness — Hosting,On-Premises Synonyms without bare 'on-prem' keyword,Private infrastructure detection through air-gapped and bare metal phrasing,We run our own data center on bare metal deployment for sovereign data compliance and cannot use any public cloud provider.,"onPrem, compliance","Routes to on-premises private infrastructure, suppressing public cloud providers.","onPrem, compliance, excluded:['cloud']",,,"{""cloud"": ""On-premises / private infrastructure — no public cloud"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Self-hosted open-source IdP (Keycloak or FreeIPA)"", ""containers"": ""Docker + self-managed Kubernetes (kubeadm/Rancher/RKE2 on bare metal or VMware) — not EKS/GKE/AKS"", ""observability"": ""OpenTelemetry (instrumentation standard) + self-hosted Grafana + Prometheus + Loki (or ELK/OpenSearch)"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not applicable — air-gapped means there is no cloud endpoint to build a dedicated link to"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-03,Alternative,Idiom Robustness — Transit,Hybrid Connectivity via Direct Connect phrasing,Dedicated link routing without literal 'hybrid cloud' conjunction,We need Direct Connect to bridge our private data center servers directly to AWS VPC workloads.,"hybridConnectivity, awsShop",Identifies AWS Direct Connect dedicated link transit without mistaking it for pure air-gapped on-prem.,"hybridConnectivity, awsShop",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""AWS Direct Connect + AWS Transit Gateway, with a Site-to-Site VPN as an automatic failover path"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-04,Alternative,Idiom Robustness — Containerization,Kubernetes Idiomatic Avoidance ('off the table'),Exclusion of Kubernetes via informal English idioms,"We need a containerized Python API on AWS, but Kubernetes is off the table because our team cannot operate k8s complexity.","awsShop, pythonMentioned",Kubernetes excluded; containers recommendation pivots to Docker + managed serverless containers (AWS Fargate / Cloud Run).,"awsShop, pythonMentioned, excluded:['kubernetes']",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + managed serverless containers (Cloud Run / Fargate / Container Apps) — not Kubernetes"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-05,Alternative,Inference Architecture,Self-Hosted Private Hardware Inference (vLLM at Enterprise Scale),Production-scale self-hosted continuous batching vs lightweight runtime,"Large enterprise team of 100 engineers running our own GPUs on premises with high traffic, hosting open-weight LLMs using vLLM for inference serving.","enterprise, largeTeam, highScale, selfHostInfra, vllmMentioned, onPrem",Selects vLLM continuous batching for production serving rather than Ollama dev runtime.,"onPrem, enterprise, highScale, selfHostInfra, vllmMentioned, largeTeam",,,"{""cloud"": ""On-premises / private infrastructure — no public cloud"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Self-hosted open-source IdP (Keycloak or FreeIPA)"", ""containers"": ""Docker + self-managed Kubernetes (kubeadm/Rancher/RKE2 on bare metal or VMware) — not EKS/GKE/AKS"", ""observability"": ""OpenTelemetry (instrumentation standard) + self-hosted Grafana + Prometheus + Loki (or ELK/OpenSearch)"", ""architecture"": ""Microservices with Hexagonal (Ports & Adapters) architecture"", ""frontend"": ""Angular"", ""hybrid_connectivity"": ""Not applicable — air-gapped means there is no cloud endpoint to build a dedicated link to"", ""messaging"": ""Kafka (durable, high-throughput event streaming)"", ""cache"": ""Redis"", ""mesh"": ""Istio"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-06,Alternative,Brownfield AI Scope,Brownfield AI Integration ('already have an application in production'),Brownfield AI pattern #1 — suppress greenfield infra replacement,We already have an application in production and only want to add AI to our existing system for a customer support bot.,"brownfieldAiOnly, chatbot","brownfieldAiOnly fires in BOTH engines (ported to rule_engine.py), so an API/MCP caller sees the same brownfield scope the browser does. Chatbot signal detected; the browser additionally suppresses the greenfield stack sections, which is rendering and stays frontend-only.","brownfieldAiOnly, chatbot",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store) · MongoDB (flexible schema for content, chat history, documents)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Redis"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-07,Alternative,Brownfield AI Scope,Brownfield Guardrails Only ('already have AI built'),Brownfield AI pattern #5 — guardrails review without changing LLM,"We already have AI built and running in production; we just need our guardrails and safety layer reviewed for prompt injection, jailbreak and PII leakage.","brownfieldGuardrailsOnly, routingGuardrailService, security",brownfieldGuardrailsOnly fires in BOTH engines (ported to rule_engine.py). RoutingGuardrailService detected in both. Section suppression remains a rendering concern in index.html.,"brownfieldGuardrailsOnly, security, routingGuardrailService",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-08,Alternative,MCP Protocol Exposition,FastMCP Tool Exposition Intent,FastMCP tool server complement to agent reasoning loop,Building FastMCP tool servers in Python to expose internal databases and document search as callable tools for autonomous AI agents.,"fastmcpMentioned, pythonMentioned, agentic, knowledgeBase, ragNeed",Recommends FastMCP for MCP tool exposition alongside agent orchestration guidance.,"knowledgeBase, agentic, fastmcpMentioned, pythonMentioned, ragNeed",,,"{""cloud"": ""Google Cloud (GCP)"", ""database"": ""PostgreSQL (primary transactional store) · MongoDB (flexible schema for content, chat history, documents)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Redis"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-09,Alternative,Numeric Scale Detection,Numeric Throughput Rate High-Scale ('300M/day'),"Numeric throughput detection (~3,472 rps) triggering highScale without keywords","An OTP verification platform processing 300M/day requests with sub-100ms response time, team of 20 engineers.",highScale,"Parses 300M/day into ~3,472 req/sec; activates highScale and selects microservices / high-throughput caching.","highScale, throughput:3472.2 rps (300m/day)",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Kafka (durable, high-throughput event streaming)"", ""cache"": ""Redis"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
ALT-10,Alternative,Context Disambiguation,MVP Scoping Question vs True Stage Claim,Distinguish 'is X in MVP scope?' from early-stage startup declaration,Is audit log streaming within the MVP scope? We are an enterprise team of 120 engineers building a corporate compliance platform.,"enterprise, largeTeam, compliance, realtime","Does not misclassify as startupMvp; preserves enterprise scale, IAM, and compliance recommendations.","enterprise, realtime, compliance, largeTeam",,,"{""cloud"": ""Microsoft Azure"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Ping Identity (incl. ForgeRock, post-merger) — or Okta if you want a less complex rollout"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Splunk (+ Datadog or Dynatrace for APM)"", ""architecture"": ""Microservices with Hexagonal (Ports & Adapters) architecture"", ""frontend"": ""Angular"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Kafka (durable, high-throughput event streaming)"", ""cache"": ""Redis"", ""mesh"": ""Istio with SPIFFE/SPIRE-issued workload identity (not just mTLS certs Istio manages internally)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-01,Negative,Negation Engine — Compound Negation,Neither-Nor Language Exclusion ('Neither Java nor Python'),Exclusion of multiple programming languages simultaneously,We need a web application. Neither Java nor Python should be used for the backend — written in Go only.,"web, goMentioned",Both Java and Python excluded; Go recommended as backend language.,"web, goMentioned, excluded:['languages']",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-02,Negative,Negation Engine — Clause Boundaries,Conjunction Guard with 'But' ('Don't need Redis but need Postgres'),Negation clause boundary ending at contrasting conjunction,"We don't need Redis or Memcached, but we do need Postgres for durability.",postgresMentioned,Cache is excluded; PostgreSQL is not excluded and remains the recommended database.,"postgresMentioned, excluded:['cache']",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not recommended — you excluded caching"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-03,Negative,Negation Engine — Rhetorical Qualifiers,Non-Exclusion Qualifier ('Not only a website but also a mobile app'),Preserve frontend when 'not' is used as an additive qualifier,We need not only a website but also a mobile app for our field operations.,mobile,Exclusion engine preserves frontend (0 exclusions recorded); stripNegations consumes 'not only a website' clause so web signal requires explicit mention outside the qualifier clause.,mobile,,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""Flutter (single codebase for iOS + Android)"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-04,Negative,Negation Engine — Quantity Scoping,"Keep Existing DB ('Already use PostgreSQL, don't need another')",Prevent false database exclusion when user retains current database,We already use PostgreSQL in production and don't need another database added to our architecture.,"postgresMentioned, structured",Database category not excluded; PostgreSQL correctly recommended as transactional store.,"structured, postgresMentioned",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-05,Negative,Negation Engine — Vendor Exclusion,Throwaway Prototype ('Don't need any monitoring'),Explicit user exclusion of third-party observability,"This is a learning project throwaway prototype, we don't need any monitoring or observability tooling.",minimalProject,Observability card displays 'Not recommended — you excluded an observability vendor'.,"minimalProject, excluded:['observability']",,,"{""cloud"": ""No cloud provider needed — deploy to a free-tier PaaS (Vercel/Netlify/Render/Railway/Fly.io) or run it locally"", ""database"": ""SQLite — a single file, zero setup or hosting"", ""iam"": ""Your framework's built-in auth (or a lightweight library — Auth.js/NextAuth, Passport, Devise) — no IAM vendor"", ""containers"": ""No orchestrator needed — run the app directly, or in a single Docker container if you want portability"", ""observability"": ""Not recommended — you excluded an observability vendor"", ""architecture"": ""A single simple app — no architecture pattern needed yet"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""No message broker needed"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-06,Negative,Negation Engine — Negated Hosting,Negated On-Prem ('Not on-prem'),Prevent onPrem signal from firing when on-prem is explicitly negated,"We want modern public cloud hosting on AWS, not on-prem or bare metal.",awsShop,onPrem signal is false; routes cleanly to AWS public cloud.,awsShop,,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-07,Negative,Negation Engine — Architecture Exclusion,"No Microservices, No Mesh ('Keep it a simple modular monolith')",Exclusion of microservices and service mesh with sentence boundary,We don't want microservices or a service mesh. Keep it a simple modular monolith.,monolithMentioned,Modular monolith selected; Service mesh card displays 'Not recommended — you excluded a service mesh'.,"monolithMentioned, excluded:['microservices', 'mesh']",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Modular monolith (single deployable, module boundaries enforced in-code)"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not recommended — you excluded a service mesh"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-08,Negative,Honesty & Calibration,Gibberish Input with Zero Signals,Zero-signal handling without confident false defaults,asdkjhaskjdh 12321 !!!,,Zero signals detected; triggers lowSignalBanner honesty notice stating input has no architectural requirements.,,,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices, hexagonal per bounded context"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
NEG-09,Negative,Edge Input Validation,Whitespace-Only Edge Input,Input validation boundary,        ,,Engine rejects empty/whitespace input with validation error before execution.,,,,ValueError: requirement_text must be non-empty,PASS,Input properly rejected by validation guard before processing.
NEG-10,Negative,Negation Engine — Comprehensive Exclusion List,Blanket Exclusion of Core Components,Multi-term exclusion list parsing across 9 categories,"I do not need a website, API, database, cloud deployment, Docker, Kubernetes, microservices, RAG, an LLM or a vector database.",,All 9 named items excluded; cards display explicit exclusion notices.,"excluded:['kubernetes', 'containers', 'microservices', 'database', 'cloud', 'llm', 'rag', 'frontend', 'api']",,,"{""cloud"": ""Not recommended — you excluded cloud hosting"", ""database"": ""Not recommended — you excluded a database"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Not recommended — you excluded containers"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Modular monolith (single deployable, module boundaries enforced in-code)"", ""frontend"": ""Not recommended — you excluded a web/mobile frontend"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — you excluded databases""}",PASS,Verified: every expected signal fired and nothing else did.
